data;id;command
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите овощи:
2020-09-29;203288953;Выберите овощи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;статистика 1 команды
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите продукты:
2020-09-29;203288953;Выберите продукты:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите овощи:
2020-09-29;203288953;Выберите овощи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите рыбу:
2020-09-29;203288953;Выберите рыбу:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите мясо:
2020-09-29;203288953;Выберите мясо:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите фрукты:
2020-09-29;203288953;Выберите фрукты:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите продукты:
2020-09-29;203288953;Выберите продукты:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите овощи:
2020-09-29;203288953;Выберите овощи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите рыбу:
2020-09-29;203288953;Выберите рыбу:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите мясо:
2020-09-29;203288953;Выберите мясо:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите фрукты:
2020-09-29;203288953;Выберите фрукты:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;статистика 2 команды
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;106526776;/start
2020-09-29;106526776;Приятного аппетита! =)
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;Выберите овощи:
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;Выберите специи:
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;/start
2020-09-29;106526776;Приятного аппетита! =)
2020-09-29;203288953;А автор кто?
2020-09-29;421472337;/start
2020-09-29;421472337;Приятного аппетита! =)
2020-09-29;421472337;Выберите категорию:
2020-09-29;421472337;Выберите крупы:
2020-09-29;421472337;Выберите крупы:
2020-09-29;421472337;Выберите категорию:
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;Выберите крупы:
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;Выберите специи:
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;/start
2020-09-29;106526776;Приятного аппетита! =)
2020-09-29;106526776;Выберите категорию:
2020-09-29;106526776;Выберите мясо:
2020-09-29;106526776;Выберите категорию:
2020-09-29;203288953;/start
2020-09-29;203288953;Приятного аппетита! =)
2020-09-29;203288953;Выберите категорию:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите специи:
2020-09-29;203288953;Выберите категорию:
2020-09-29;421472337;/start
2020-09-29;421472337;Приятного аппетита! =)
2020-09-29;421472337;Приятного аппетита! =)
2020-09-29;421472337;Выберите категорию:
2020-09-29;421472337;Выберите крупы:
2020-09-29;421472337;Выберите крупы:
2020-09-29;421472337;Выберите категорию:
2020-10-05;203288953;fddf
2020-10-05;203288953;fddf
2020-10-05;203288953;Приятного аппетита! =)
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите крупы:
2020-10-05;203288953;Выберите крупы:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите рыбу:
2020-10-05;203288953;Выберите рыбу:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите овощи:
2020-10-05;203288953;Выберите овощи:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите продукты:
2020-10-05;203288953;Выберите продукты:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите специи:
2020-10-05;203288953;Выберите специи:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;"Не найдено рецепта с такими ингредиентами =(

Небольшой пример рекламы. Хочешь пиццу? Звони +3898989894894"
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;/start
2020-10-05;203288953;Приятного аппетита! =)
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;/search
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;/start
2020-10-05;203288953;/start
2020-10-05;203288953;Приятного аппетита! =)
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите специи:
2020-10-05;203288953;Выберите специи:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;выав
2020-10-05;203288953;выав
2020-10-05;203288953;ываы
2020-10-05;203288953;ываы
2020-10-05;203288953;выаыва
2020-10-05;203288953;выаыва
2020-10-05;203288953;ыав
2020-10-05;203288953;ыав
2020-10-05;203288953;ыаыва
2020-10-05;203288953;ыаыва
2020-10-05;203288953;ыва
2020-10-05;203288953;ыва
2020-10-05;203288953;ыва
2020-10-05;203288953;ыва
2020-10-05;203288953;статистика 2 команды
2020-10-05;203288953;А автор кто?
2020-10-05;203288953;cnfhn
2020-10-05;203288953;cnfhn
2020-10-05;203288953;Приятного аппетита! =)
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите крупы:
2020-10-05;203288953;Выберите крупы:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите овощи:
2020-10-05;203288953;Выберите овощи:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите рыбу:
2020-10-05;203288953;Выберите рыбу:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите специи:
2020-10-05;203288953;Выберите специи:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;Выберите продукты:
2020-10-05;203288953;Выберите продукты:
2020-10-05;203288953;Выберите категорию:
2020-10-05;203288953;А автор кто?
2020-10-05;203288953;статистика 2 команды
